index,Type,Name,Short_description,Images,Price,Negotiate
0,simple,boys Tshirts,summer lo baguntundi,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTLyHOlRXcrZplxTOGjEbbmeI4dUq5ZUNmkMmHiqUD6YCPpSilX6ZM1SQ0C357lr_cCmHMZnshhRjc-F_NSYZaYFd2iUVjfkrwLZFrLDyzqEz0L8Ovk_3q1,899.99,817.991
1,simple,girls t shirts,This fashionable string bag is made of 100% cotton. It is the perfect size for carrying your everyday essentials.,https://m.media-amazon.com/images/I/61t0G869oUL._SX679_.jpg,891.99,817.991
2,variable,frock,"Represent your favorite CMS, eCommerce Platform, Website Builder, or Plugin Company in style with a cool pin.",https://m.media-amazon.com/images/I/41YfhxbvGtL.jpg,999,918
3,variation,Brand Buttons - Divi,"Brand Buttons in Divi are customizable call-to-action buttons designed to reflect a brand? identity through consistent colors, typography, icons, and hover effects. Using Divi? visual builder, these buttons can be styled to match brand guidelines while maintaining responsiveness across devices.",https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-1.jpg,999,899
4,variation,Brand Buttons - Divi Engine,"Brand Buttons in Divi are customizable call-to-action buttons designed to reflect a brand? identity through consistent colors, typography, icons, and hover effects. Using Divi? visual builder, these buttons can be styled to match brand guidelines while maintaining responsiveness across devices.",https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-4.jpg,1000,900
5,variation,Brand Buttons - WooCommerce,"Brand Buttons in Divi are customizable call-to-action buttons designed to reflect a brand? identity through consistent colors, typography, icons, and hover effects. Using Divi? visual builder, these buttons can be styled to match brand guidelines while maintaining responsiveness across devices.",https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-2.jpg,1001,901
6,variation,Brand Buttons - WordPress,"Brand Buttons in Divi are customizable call-to-action buttons designed to reflect a brand? identity through consistent colors, typography, icons, and hover effects. Using Divi? visual builder, these buttons can be styled to match brand guidelines while maintaining responsiveness across devices.",https://ajax-filters-bc.diviengine.com/sampledata/images/DE-Pins-3.jpg,1002,902
7,simple,Lanyard,Stop losing your important access keys with a lanyard that is ALMOST as reliable as Divi Engine plugins!,https://ajax-filters-bc.diviengine.com/sampledata/images/Lanyard1.jpg,1003,903
8,variable,Divi Engine Tee,This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,"https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-yellow-front.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-blue-front.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-white-front.jpg",759,700
9,variation,"Divi Engine Tee - Blue, Large",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-blue-front.jpg,760,701
10,variation,"Divi Engine Tee - White, Large",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-white-front.jpg,761,702
11,variation,"Divi Engine Tee - Yellow, Large",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-yellow-front.jpg,762,703
12,variation,"Divi Engine Tee - Blue, Medium",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-blue-front.jpg,763,704
13,variation,"Divi Engine Tee - White, Medium",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-white-front.jpg,764,705
14,variation,"Divi Engine Tee - Yellow, Medium",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-yellow-front.jpg,765,706
15,variation,"Divi Engine Tee - Blue, Small",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-blue-front.jpg,766,707
16,variation,"Divi Engine Tee - White, Small",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-white-front.jpg,767,708
17,variation,"Divi Engine Tee - Yellow, Small",This comfortable cotton t-shirt that features the Divi Engine logo on the front is perfect for any occasion. The shirt is available in three colors.,https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-3-yellow-front.jpg,768,709
18,variable,Cotton T-shirt,This comfortable cotton t-shirt features the Divi logo on the front and back. It is the perfect tee for any occasion.,"https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-2---front.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-2---back.jpg",999.99,900
19,variation,GLOBAL DESI Women's Frock,This frock is made of 65% Polyester and 35% Silk,"https://assets.myntassets.com/w_412,q_30,dpr_3,fl_progressive,f_webp/assets/images/26088664/2023/11/28/58a111c9-23da-4144-a49a-52be6f762f321701152000564EthnicDresses1.jpg","2,999","1,999"
20,variation,Nike shoes for Men,Designed for comfortable wear for sports and street style,https://static.nike.com/a/images/t_web_pdp_936_v2/f_auto/1b1c2359-c574-4706-86c7-f41cbcda9554/COURT+SHOT.png,"3,699","2,500"
21,variation,MAX FASHION Girl's Frock,This Dress will keep you comfortable throughout the Day,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTLGpTgJ2dHIBGbIQUsOMt4vhzsZf0IH5bzcrT6b5uSFrtrrra7aoqOL99C0xGcjL2tAFoXb7zS71KQJ2HjZP0Lt1OoygOQdBwyqLfT8LhY,999,699
22,variable,ADIDAS Women's Maxi Dress,This Gown Dress For Girl Is Floor Length,"https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-1---front.jpg, https://ajax-filters-bc.diviengine.com/sampledata/images/Shirt-1---back.jpg","1,999","1,333"
23,variation,RITU KUMAR Women's Sleeves dress,Full Sleeves and designed for all-day comfort,https://img2.ogaanindia.com/pub/media/catalog/product/cache/3f6619daccdb194398d06464ab49fa6e/l/d/ldrcvl08n31158498offwhite1.jpg,899,699
24,variation,TESSAVEGAS Women's sleevless dress,This Dress is made of 95% polyester and 5% Spandex,https://m.media-amazon.com/images/I/61BpizBO9zL._AC_UY1100_.jpg,"2,999","2,000"
25,variation,H&M Flare & Solid Dress,It makes a great addition to your occasion,https://image.hm.com/assets/hm/b0/9e/b09e5a8576ea26fbe304909709a4f94aa3a1742b.jpg?imwidth=2160,"1,449","1,000"
26,variable,ZARA Women's Regular Fit Top,Women Floral Printed Top,https://ajax-filters-bc.diviengine.com/sampledata/images/Hoodie-2.jpg,"             7,99","             4,99"
27,variation,SYMBOL PREMIUM Mens shoes,High Quality and 100% Best quality genuine leather,"https://m.media-amazon.com/images/S/aplus-media/sota/d73c5b9d-77ee-4b00-b1e4-f8ab96944db5.__CR0,0,600,450_PT0_SX600_V1___.jpg","3,999","2,899"
28,variation,ASIAN Women's Casual Shoes,Exclusive design and Lightweight Shoes for Women,https://m.media-amazon.com/images/I/81XVThafkrL._AC_UY1000_.jpg,999,699
29,variation,ASIAN Men Gym wear Running Shoes,Provides extra comfort to your feet with a perfect grip,https://m.media-amazon.com/images/I/81lPouoSTBL.jpg,"2,549","2,000"
30,variable,U.S POLO ASSN. Men's Sneaker,Designed with comfort and regular wear ,https://ajax-filters-bc.diviengine.com/sampledata/images/Hoodie-1.jpg,"1,699","1,000"
31,variation,NIKE Men's Shoes,Comfort and Style with soft foam padding,https://static.nike.com/a/images/t_web_pdp_936_v2/f_auto/1b1c2359-c574-4706-86c7-f41cbcda9554/COURT+SHOT.png,"2,499","1,999"
